symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
PNC,175.26,2,"1,909,934",true,175.26,172.90,Price ($175.26) is above the 20-day EMA ($172.90),false,175.26,177.11,Price ($175.26) is below the 100-day EMA ($177.11),false,55.9,50.0,RSI (55.9) is above the threshold (50),true,175.26,173.81,Current price ($175.26) is above last week's close ($173.81),false,3.45,2.90,3-day ATR (3.45) is higher than 6-day ATR (2.90),2025-06-04T19:31:25,0
BK,88.63,4,"3,840,738",true,88.63,87.65,Price ($88.63) is above the 20-day EMA ($87.65),true,88.63,83.56,Price ($88.63) is above the 100-day EMA ($83.56),false,53.2,50.0,RSI (53.2) is above the threshold (50),true,88.63,88.61,Current price ($88.63) is above last week's close ($88.61),true,1.25,1.28,3-day ATR (1.25) is lower than 6-day ATR (1.28),2025-06-04T19:32:08,0
CTVA,71.45,4,"3,085,295",true,71.45,68.58,Price ($71.45) is above the 20-day EMA ($68.58),true,71.45,63.40,Price ($71.45) is above the 100-day EMA ($63.40),false,77.9,50.0,RSI (77.9) is above the threshold (50),true,71.45,70.80,Current price ($71.45) is above last week's close ($70.80),true,0.92,1.04,3-day ATR (0.92) is lower than 6-day ATR (1.04),2025-06-04T19:32:18,0
PWR,360.83,3,"1,057,581",true,360.83,336.51,Price ($360.83) is above the 20-day EMA ($336.51),true,360.83,306.09,Price ($360.83) is above the 100-day EMA ($306.09),false,77.5,50.0,RSI (77.5) is above the threshold (50),true,360.83,342.56,Current price ($360.83) is above last week's close ($342.56),false,8.76,7.43,3-day ATR (8.76) is higher than 6-day ATR (7.43),2025-06-04T19:32:23,0
EXC,43.02,2,"7,708,188",false,43.02,44.04,Price ($43.02) is below the 20-day EMA ($44.04),false,43.02,43.46,Price ($43.02) is below the 100-day EMA ($43.46),true,41.4,50.0,RSI (41.4) is below the threshold (50),false,43.02,43.82,Current price ($43.02) is below last week's close ($43.82),true,0.71,0.71,3-day ATR (0.71) is lower than 6-day ATR (0.71),2025-06-04T19:32:42,0
GEN,29.00,3,"6,200,312",true,29.00,28.00,Price ($29.00) is above the 20-day EMA ($28.00),true,29.00,27.35,Price ($29.00) is above the 100-day EMA ($27.35),false,64.8,50.0,RSI (64.8) is above the threshold (50),true,29.00,28.48,Current price ($29.00) is above last week's close ($28.48),false,0.55,0.48,3-day ATR (0.55) is higher than 6-day ATR (0.48),2025-06-04T19:38:46,0
AEP,102.48,1,"2,521,521",false,102.48,103.26,Price ($102.48) is below the 20-day EMA ($103.26),false,102.48,102.82,Price ($102.48) is below the 100-day EMA ($102.82),false,51.5,50.0,RSI (51.5) is above the threshold (50),false,102.48,103.49,Current price ($102.48) is below last week's close ($103.49),true,1.41,1.55,3-day ATR (1.41) is lower than 6-day ATR (1.55),2025-06-04T19:33:09,0
TEAM,210.93,2,"2,192,649",false,210.93,211.69,Price ($210.93) is below the 20-day EMA ($211.69),false,210.93,229.30,Price ($210.93) is below the 100-day EMA ($229.30),false,50.2,50.0,RSI (50.2) is above the threshold (50),true,210.93,207.63,Current price ($210.93) is above last week's close ($207.63),true,7.10,7.28,3-day ATR (7.10) is lower than 6-day ATR (7.28),2025-06-04T19:33:23,0
PEG,80.97,2,"3,849,308",true,80.97,79.95,Price ($80.97) is above the 20-day EMA ($79.95),false,80.97,81.94,Price ($80.97) is below the 100-day EMA ($81.94),false,61.1,50.0,RSI (61.1) is above the threshold (50),false,80.97,81.03,Current price ($80.97) is below last week's close ($81.03),true,1.74,1.86,3-day ATR (1.74) is lower than 6-day ATR (1.86),2025-06-04T19:33:35,0
RMD,250.26,3,"718,075",true,250.26,244.21,Price ($250.26) is above the 20-day EMA ($244.21),true,250.26,235.29,Price ($250.26) is above the 100-day EMA ($235.29),false,59.8,50.0,RSI (59.8) is above the threshold (50),true,250.26,244.79,Current price ($250.26) is above last week's close ($244.79),false,4.61,3.74,3-day ATR (4.60) is higher than 6-day ATR (3.74),2025-06-04T19:33:57,0
