symbol,current_price,total_score,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,data_age_hours
TRGP,157.93,0,False,157.93,163.0863,Price ($157.93) is below the 20-day EMA ($163.09),False,157.93,178.947,Price ($157.93) is below the 100-day EMA ($178.95),False,50.73,50.0,RSI (50.7) is above the threshold (50),False,157.93,157.93,Current price ($157.93) is below last week's close ($157.93),False,3.684167,3.357083,3-day ATR (3.68) is higher than 6-day ATR (3.36),0
AEE,96.88,1,False,96.88,96.9968,Price ($96.88) is below the 20-day EMA ($97.00),True,96.88,96.536,Price ($96.88) is above the 100-day EMA ($96.54),False,63.54,50.0,RSI (63.5) is above the threshold (50),False,96.88,96.88,Current price ($96.88) is below last week's close ($96.88),False,1.6468,1.5959,3-day ATR (1.65) is higher than 6-day ATR (1.60),0
AVGO,242.07,2,True,242.07,224.0961,Price ($242.07) is above the 20-day EMA ($224.10),True,242.07,202.4,Price ($242.07) is above the 100-day EMA ($202.40),False,65.73,50.0,RSI (65.7) is above the threshold (50),False,242.07,242.07,Current price ($242.07) is below last week's close ($242.07),False,7.835,6.99915,3-day ATR (7.83) is higher than 6-day ATR (7.00),0
LLY,737.67,1,False,737.67,748.4083,Price ($737.67) is below the 20-day EMA ($748.41),False,737.67,792.7007,Price ($737.67) is below the 100-day EMA ($792.70),True,30.23,50.0,RSI (30.2) is below the threshold (50),False,737.67,737.67,Current price ($737.67) is below last week's close ($737.67),False,18.137333,16.008667,3-day ATR (18.14) is higher than 6-day ATR (16.01),0
TMUS,242.2,0,False,242.2,243.542,Price ($242.20) is below the 20-day EMA ($243.54),False,242.2,247.3063,Price ($242.20) is below the 100-day EMA ($247.31),False,63.07,50.0,RSI (63.1) is above the threshold (50),False,242.2,242.2,Current price ($242.20) is below last week's close ($242.20),False,4.14,3.9125,3-day ATR (4.14) is higher than 6-day ATR (3.91),0
MSFT,460.36,3,True,460.36,444.4882,Price ($460.36) is above the 20-day EMA ($444.49),True,460.36,416.7178,Price ($460.36) is above the 100-day EMA ($416.72),False,83.82,50.0,RSI (83.8) is above the threshold (50),False,460.36,460.36,Current price ($460.36) is below last week's close ($460.36),True,6.0465,7.089917,3-day ATR (6.05) is lower than 6-day ATR (7.09),0
AMGN,288.18,3,True,288.18,277.8421,Price ($288.18) is above the 20-day EMA ($277.84),True,288.18,286.9777,Price ($288.18) is above the 100-day EMA ($286.98),True,36.91,50.0,RSI (36.9) is below the threshold (50),False,288.18,288.18,Current price ($288.18) is below last week's close ($288.18),False,5.97,5.435283,3-day ATR (5.97) is higher than 6-day ATR (5.44),0
MDT,82.98,2,False,82.98,83.4958,Price ($82.98) is below the 20-day EMA ($83.50),False,82.98,85.8498,Price ($82.98) is below the 100-day EMA ($85.85),True,43.68,50.0,RSI (43.7) is below the threshold (50),False,82.98,82.98,Current price ($82.98) is below last week's close ($82.98),True,1.368333,1.590667,3-day ATR (1.37) is lower than 6-day ATR (1.59),0
APH,89.93,3,True,89.93,84.1794,Price ($89.93) is above the 20-day EMA ($84.18),True,89.93,74.1774,Price ($89.93) is above the 100-day EMA ($74.18),False,63.22,50.0,RSI (63.2) is above the threshold (50),False,89.93,89.93,Current price ($89.93) is below last week's close ($89.93),True,1.32,1.770833,3-day ATR (1.32) is lower than 6-day ATR (1.77),0
DELL,111.27,3,True,111.27,107.3121,Price ($111.27) is above the 20-day EMA ($107.31),True,111.27,104.0468,Price ($111.27) is above the 100-day EMA ($104.05),True,47.71,50.0,RSI (47.7) is below the threshold (50),False,111.27,111.27,Current price ($111.27) is below last week's close ($111.27),False,4.636667,3.841617,3-day ATR (4.64) is higher than 6-day ATR (3.84),0
