symbol,current_price,total_score,avg_volume_10d,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,calculation_timestamp,data_age_hours
DOW,28.10,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:50,0
COR,288.87,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:49:54,0
ALL,205.47,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:49:58,0
TEAM,214.86,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:49:59,0
AFL,101.86,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:49:55,0
DVN,31.52,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:50,0
AEP,102.00,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:49:58,0
REGN,484.90,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:08,0
LDOS,144.44,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:03,0
TFC,39.38,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:11,0
O,55.87,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:12,0
OKE,80.72,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:25,0
MPC,156.75,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:28,0
PCAR,92.01,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:37,0
D,55.87,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:39,0
NDAQ,83.59,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:43,0
DLTR,94.39,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:04,0
MET,78.10,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:10,0
SRE,76.32,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:12,0
PWR,357.77,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:21,0
CPRT,50.06,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:25,0
BDX,171.84,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:30,0
AIG,84.53,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:39,0
CTVA,71.44,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:50:40,0
DGX,174.22,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:54:57,0
BIIB,131.07,2,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:04,0
NI,38.89,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:13,0
ZBH,92.33,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:17,0
GPC,125.75,4,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:28,0
PFG,75.84,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:31,0
PNR,99.25,3,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:41,0
LNT,60.23,1,,false,,,,false,,,,false,,,,false,,,,false,,,,2025-06-05T14:55:45,0
